id,content,post_code,class_code,class_name,time,good_count,comment_count,Root_code
3357336,先蹲蹲,202503140850159446P2,20220429RUC01,投稿, 52分钟前,0,0,202503140813075787P1
3357366,都可以,202503140906124553P2,20220429RUC01,投稿, 36分钟前,0,0,202503140744185771P1
3357365,你是想问支教经验还是选拔经验？,202503140905487428P2,20220429RUC01,投稿, 37分钟前,0,0,202503140744185771P1
3357265,可有偿，请和奶茶,202503140744499676P2,20220429RUC01,投稿, 1小时前,0,0,202503140744185771P1
3357290,边际成本大于边际收益,202503140822550636P2,20220429RUC01,投稿, 1小时前,0,0,202503140740281490P1
3357459,不来点直升机金曲我不是很认可,202503140935525485P2,20220429RUC01,投稿, 7分钟前,0,0,202503140641359398P1
3357457,早安，所有孤独的人,202503140934495458P2,20220429RUC01,投稿, 8分钟前,0,0,202503140641359398P1
3357283,sb北京,202503140811198121P2,20220429RUC01,投稿, 1小时前,0,0,202503140641359398P1
3357268,🖕🏻早安🖕🏻北京🖕🏻,202503140754557328P2,20220429RUC01,投稿, 1小时前,1,0,202503140641359398P1
3357249,早安，金灿荣的助教,202503140722005727P2,20220429RUC01,投稿, 2小时前,0,0,202503140641359398P1
3357248,早ﾉ☀,202503140718072124P2,20220429RUC01,投稿, 2小时前,0,0,202503140641359398P1
3357244,早！,202503140712541017P2,20220429RUC01,投稿, 2小时前,0,0,202503140641359398P1
3357243,お早う,202503140708037551P2,20220429RUC01,投稿, 2小时前,0,0,202503140641359398P1
3357242,早安！,202503140707215160P2,20220429RUC01,投稿, 2小时前,0,0,202503140641359398P1
3357240,早あ,202503140703490400P2,20220429RUC01,投稿, 2小时前,0,0,202503140641359398P1
3357239,旱安,202503140703410379P2,20220429RUC01,投稿, 2小时前,0,0,202503140641359398P1
3357237,别鼠,202503140701424328P2,20220429RUC01,投稿, 2小时前,0,0,202503140641359398P1
3357236,想鼠,202503140700471354P2,20220429RUC01,投稿, 2小时前,0,0,202503140641359398P1
3357232,早安！,202503140648139033P2,20220429RUC01,投稿, 2小时前,0,0,202503140641359398P1
3357231,早安！北京！,202503140643195669P2,20220429RUC01,投稿, 2小时前,0,0,202503140641359398P1
3357294,我也这样，可不可以按下暂停键，可不可以让我缓一下。,202503140824181339P2,20220429RUC01,投稿, 1小时前,0,0,202503140444166565P1
3357245,😇我也，不过我是因为厌恶自己的专业。。,202503140714206593P2,20220429RUC01,投稿, 2小时前,0,0,202503140444166565P1
3357326,在家吃饭,202503140846127355P2,20220429RUC01,投稿, 56分钟前,0,0,202503140317051329P1
3357382,我以为只有我一个人觉得食堂有问题😇本来我只觉得北方做菜习惯放多油和盐不符合我这个南方人的口味，直到吃出几次急性肠胃炎，我就开始以外卖为生了🤮,202503140914242023P2,20220429RUC01,投稿, 28分钟前,0,0,202503140258473281P1
3357329,东一大伙一盘青菜五块钱，到底是谁家学校的大伙这么贵 ，说是什么补贴补不到所有，连大伙青菜的价格这么高，到底是哪里被补贴到了，有人觉得价格贵跑去问xhs的主任，还被阴阳怪气不知柴米贵,202503140846270398P2,20220429RUC01,投稿, 56分钟前,0,0,202503140258473281P1
3357198,讨论食堂问题不要歪楼，别扯别的xdx文理科什么的,202503140311064421P2,20220429RUC01,投稿, 6小时前,0,0,202503140258473281P1
3357197,确实，干净，贵一点大概15r起步,202503140308344446P2,20220429RUC01,投稿, 6小时前,0,0,202503140258473281P1
3357194,北区三楼很不错,202503140307354285P2,20220429RUC01,投稿, 6小时前,0,0,202503140258473281P1
